N;дата;цена в $;;Описательная статистика;;
1;01.11.2023;205,66;;;;
2;02.11.2023;218,51;;Среднее;237,9725;
3;03.11.2023;219,96;;Стандартная ошибка;1,695857526;
4;04.11.2023;219,96;;Медиана;238,83;
5;05.11.2023;219,96;;Мода;252,54;
6;06.11.2023;219,27;;Стандартное отклонение;13,13605591;
7;07.11.2023;222,18;;Дисперсия выборки;172,5559648;
8;08.11.2023;222,11;;Эксцесс;-0,366599839;
9;09.11.2023;209,98;;Асимметричность;-0,551619596;
10;10.11.2023;214,65;;Интервал;55,78;
11;11.11.2023;214,65;;Минимум;205,66;
12;12.11.2023;214,65;;Максимум;261,44;
13;13.11.2023;223,71;;Сумма;14278,35;
14;14.11.2023;237,41;;Счет;60;
15;15.11.2023;242,84;;;0;
16;16.11.2023;233,59;;;;
17;17.11.2023;234,3;;Частоты;;
18;18.11.2023;234,3;;;;
19;19.11.2023;234,3;;V=;7,612635081;
20;20.11.2023;235,6;;k=;14,18378949;
21;21.11.2023;241,2;;МинМакс=;3,932658479;
22;22.11.2023;234,21;;;;
23;23.11.2023;234,21;;N;Интервал;Частота
24;24.11.2023;235,45;;1;205,66;1
25;25.11.2023;235,45;;2;209,5926585;0
26;26.11.2023;235,45;;3;213,525317;1
27;27.11.2023;236,08;;4;217,4579754;3
28;28.11.2023;246,72;;5;221,3906339;5
29;29.11.2023;244,14;;6;225,3232924;3
30;30.11.2023;240,08;;7;229,2559509;0
31;01.12.2023;238,83;;8;233,1886094;0
32;02.12.2023;238,83;;9;237,1212678;13
33;03.12.2023;238,83;;10;241,0539263;9
34;04.12.2023;235,58;;11;244,9865848;7
35;05.12.2023;238,72;;12;248,9192433;4
36;06.12.2023;239,37;;13;252,8519017;6
37;07.12.2023;242,64;;14;256,7845602;6
38;08.12.2023;243,84;;15;261,44;2
39;09.12.2023;243,84;;;;0
40;10.12.2023;243,84;;;Сумма=;60
41;11.12.2023;239,74;;;;
42;12.12.2023;237,01;;;;
43;13.12.2023;239,29;;;;
44;14.12.2023;251,05;;;;
45;15.12.2023;253,5;;;;
46;16.12.2023;253,5;;;;
47;17.12.2023;253,5;;;;
48;18.12.2023;252,08;;;;
49;19.12.2023;257,22;;;;
50;20.12.2023;247,14;;;;
51;21.12.2023;254,5;;;;
52;22.12.2023;252,54;;;;
53;23.12.2023;252,54;;;;
54;24.12.2023;252,54;;;;
55;25.12.2023;252,54;;;;
56;26.12.2023;253,18;;;;
57;27.12.2023;261,44;;;;
58;28.12.2023;253,18;;;;
59;29.12.2023;248,48;;;;
60;30.12.2023;248,48;;;;
