N;Месяц;Общее колличество преступлений;;;
1;01.01.2003;214587;;;
2;01.02.2003;221928;;;
3;01.03.2003;248452;;;
4;01.04.2003;236299;;;
5;01.05.2003;230931;;;
6;01.06.2003;249710;;;
7;01.07.2003;225847;;;
8;01.08.2003;222107;;;
9;01.09.2003;240131;;;
10;01.10.2003;245711;;;
11;01.11.2003;218480;;;
12;01.12.2003;202215;;;
13;01.01.2004;211885;;;
14;01.02.2004;230077;;;
15;01.03.2004;261288;;;
16;01.04.2004;239677;;;
17;01.05.2004;228278;;;
18;01.06.2004;256948;;;
19;01.07.2004;231752;;;
20;01.08.2004;243138;;;
21;01.09.2004;254352;;;
22;01.10.2004;250393;;;
23;01.11.2004;240788;;;
24;01.12.2004;245234;;;
25;01.01.2005;226573;;;
26;01.02.2005;245170;;;
27;01.03.2005;287104;;;
28;01.04.2005;262967;;;
29;01.05.2005;289533;;;
30;01.06.2005;332167;;;
31;01.07.2005;302965;;;
32;01.08.2005;326263;;;
33;01.09.2005;330848;;Столбец1;
34;01.10.2005;322364;;;
35;01.11.2005;310280;;Среднее;221583,4657
36;01.12.2005;318504;;Стандартная ошибка;3617,170363
37;01.01.2006;269142;;Медиана;208333
38;01.02.2006;300640;;Мода;#Н/Д
39;01.03.2006;359098;;Стандартное отклонение;51663,52652
40;01.04.2006;324128;;Дисперсия выборки;2669119973
41;01.05.2006;346939;;Эксцесс;-0,39558695
42;01.06.2006;350391;;Асимметричность;0,731487013
43;01.07.2006;312959;;Интервал;221441
44;01.08.2006;333568;;Минимум;137657
45;01.09.2006;325988;;Максимум;359098
46;01.10.2006;325525;;Сумма;45203027
47;01.11.2006;295472;;Счет;204
48;01.12.2006;311523;;;
49;01.01.2007;298668;;;
50;01.02.2007;291377;;;
51;01.03.2007;326890;;;
52;01.04.2007;298721;;;
53;01.05.2007;322901;;;
54;01.06.2007;321660;;;
55;01.07.2007;299382;;;
56;01.08.2007;314730;;;
57;01.09.2007;290252;;;
58;01.10.2007;295432;;;
59;01.11.2007;260742;;;
60;01.12.2007;261786;;;
61;01.01.2008;259548;;;
62;01.02.2008;280916;;;
63;01.03.2008;308072;;;
64;01.04.2008;286460;;;
65;01.05.2008;274892;;;
66;01.06.2008;284683;;;
67;01.07.2008;258726;;;
68;01.08.2008;255356;;;
69;01.09.2008;262319;;;
70;01.10.2008;259452;;;
71;01.11.2008;231685;;;
72;01.12.2008;247753;;;
73;01.01.2009;245314;;;
74;01.02.2009;252858;;;
75;01.03.2009;291835;;;
76;01.04.2009;257679;;;
77;01.05.2009;252084;;;
78;01.06.2009;274793;;;
79;01.07.2009;247575;;;
80;01.08.2009;242452;;;
81;01.09.2009;256384;;;
82;01.10.2009;242002;;;
83;01.11.2009;211689;;;
84;01.12.2009;220155;;;
85;01.01.2010;213777;;;
86;01.02.2010;223452;;;
87;01.03.2010;257875;;;
88;01.04.2010;226971;;;
89;01.05.2010;221734;;;
90;01.06.2010;232980;;;
91;01.07.2010;210818;;;
92;01.08.2010;217460;;;
93;01.09.2010;220874;;;
94;01.10.2010;211816;;;
95;01.11.2010;200369;;;
96;01.12.2010;190673;;;
97;01.01.2011;186489;;;
98;01.02.2011;198122;;;
99;01.03.2011;231944;;;
100;01.04.2011;207259;;;
101;01.05.2011;209116;;;
102;01.06.2011;213958;;;
103;01.07.2011;191989;;;
104;01.08.2011;207550;;;
105;01.09.2011;203673;;;
106;01.10.2011;202390;;;
107;01.11.2011;178876;;;
108;01.12.2011;173441;;;
109;01.01.2012;175581;;;
110;01.02.2012;187909;;;
111;01.03.2012;209747;;;
112;01.04.2012;188804;;;
113;01.05.2012;203025;;;
114;01.06.2012;202979;;;
115;01.07.2012;188732;;;
116;01.08.2012;198067;;;
117;01.09.2012;191159;;;
118;01.10.2012;207050;;;
119;01.11.2012;183011;;;
120;01.12.2012;166104;;;
121;01.01.2013;175845;;;
122;01.02.2013;185422;;;
123;01.03.2013;195578;;;
124;01.04.2013;186284;;;
125;01.05.2013;184408;;;
126;01.06.2013;189718;;;
127;01.07.2013;186435;;;
128;01.08.2013;185945;;;
129;01.09.2013;180675;;;
130;01.10.2013;197047;;;
131;01.11.2013;171224;;;
132;01.12.2013;167668;;;
133;01.01.2014;165415;;;
134;01.02.2014;174968;;;
135;01.03.2014;193769;;;
136;01.04.2014;186071;;;
137;01.05.2014;184021;;;
138;01.06.2014;187215;;;
139;01.07.2014;188445;;;
140;01.08.2014;185285;;;
141;01.09.2014;188685;;;
142;01.10.2014;200332;;;
143;01.11.2014;162384;;;
144;01.12.2014;173988;;;
145;01.01.2015;164424;;;
146;01.02.2015;180711;;;
147;01.03.2015;205868;;;
148;01.04.2015;196674;;;
149;01.05.2015;190618;;;
150;01.06.2015;210057;;;
151;01.07.2015;204320;;;
152;01.08.2015;209971;;;
153;01.09.2015;215295;;;
154;01.10.2015;230464;;;
155;01.11.2015;188244;;;
156;01.12.2015;191830;;;
157;01.01.2016;171920;;;
158;01.02.2016;198414;;;
159;01.03.2016;216768;;;
160;01.04.2016;199934;;;
161;01.05.2016;194949;;;
162;01.06.2016;200466;;;
163;01.07.2016;154547;;;
164;01.08.2016;164687;;;
165;01.09.2016;165220;;;
166;01.10.2016;184569;;;
167;01.11.2016;155247;;;
168;01.12.2016;153342;;;
169;01.01.2017;157053;;;
170;01.02.2017;150844;;;
171;01.03.2017;187310;;;
172;01.04.2017;170774;;;
173;01.05.2017;179808;;;
174;01.06.2017;184404;;;
