N;;;Дата;Цена;;;;;
1;;;30.06.2023;261,77;;;;;
2;;;29.06.2023;257,5;;;;;
3;;;28.06.2023;256,24;;;;;
4;;;27.06.2023;250,21;;;;;
5;;;26.06.2023;241,05;;;;;
6;;;23.06.2023;256,6;;;;;
7;;;22.06.2023;264,61;;;;;
8;;;21.06.2023;259,46;;;;;
9;;;20.06.2023;274,45;;;;;
10;;;16.06.2023;260,54;;;;;
11;;;15.06.2023;255,9;;;;;
12;;;14.06.2023;256,79;;;;;
13;;;13.06.2023;258,71;;;;;
14;;;12.06.2023;249,83;;;;;
15;;;09.06.2023;244,4;;;;;
16;;;08.06.2023;234,86;;;;;
17;;;07.06.2023;224,57;;;;;
18;;;06.06.2023;221,31;;;;;
19;;;05.06.2023;217,61;;;;;
20;;;02.06.2023;213,97;;;;;
21;;;01.06.2023;207,52;;;;;
22;;;31.05.2023;203,93;;;;;
23;;;30.05.2023;201,16;;;;;
24;;;26.05.2023;193,17;;;;;
25;;;25.05.2023;184,47;;;;;
26;;;24.05.2023;182,9;;;;;
27;;;23.05.2023;185,77;;;;;
28;;;22.05.2023;188,87;;;;;
29;;;19.05.2023;180,14;;;;;
30;;;18.05.2023;176,89;;;;;
31;;;17.05.2023;173,86;;;;;
32;;;16.05.2023;166,52;;;;;
33;;;15.05.2023;166,35;;;;;
34;;;12.05.2023;167,98;;;;;
35;;;11.05.2023;172,08;;;;;
36;;;10.05.2023;168,54;;;;;
37;;;09.05.2023;169,15;;;;;
38;;;08.05.2023;171,79;;;;;
39;;;05.05.2023;170,06;;;;;
40;;;04.05.2023;161,2;;;;;
41;;;03.05.2023;160,61;;;;;
42;;;02.05.2023;160,31;;;;;
43;;;01.05.2023;161,83;;;;;
44;;;28.04.2023;164,31;;;;;
45;;;27.04.2023;160,19;;;;;
46;;;26.04.2023;153,75;;;;;
47;;;25.04.2023;160,67;;;;;
48;;;24.04.2023;162,55;;;;;
49;;;21.04.2023;165,08;;;;;
50;;;20.04.2023;162,99;;;;;
51;;;19.04.2023;180,59;;;;;
52;;;18.04.2023;184,31;;;;;
53;;;17.04.2023;187,04;;;;;
54;;;14.04.2023;185;;;;;
55;;;13.04.2023;185,9;;;;;
56;;;12.04.2023;180,54;;;;;
57;;;11.04.2023;186,79;;;;;
58;;;10.04.2023;184,51;;;;;
59;;;06.04.2023;185,06;;;;;
60;;;05.04.2023;185,52;;;;;
61;;;04.04.2023;192,58;;;;;
62;;;03.04.2023;194,77;;;;;
63;;;02.04.2023;194,65;;;;;
64;;;01.04.2023;195,77;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
